"pop","demvote","repvote","blackpop","hispanicpop"
15993,647,1522,863,1980
7799,266,226,2417,1600
6347,758,1846,97,304
3808,424,828,41,180
4982,668,842,316,837
8907,644,935,195,1147
12853,640,1027,2368,3860
22218,506,641,5911,8800
16734,826,1414,197,791
6961,494,574,1147,2578
6576,617,591,1068,2367
6416,787,880,1054,2105
6190,112,164,996,2647
12289,366,271,1693,9773
1061,37,184,5,561
3906,439,523,1071,746
3804,505,300,1996,699
3124,389,473,426,416
3470,598,111,2572,347
1681,348,18,1600,66
8311,672,1377,536,1115
3626,637,99,2649,552
1496,192,454,11,68
5534,438.36,391.9,941,3425
957,121.88,43.67,184,558
